"","Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"1",2018-09-16,11476.85,11479.4,11274,11287.5,318093125,18745.54
"2",2018-09-09,11558.25,11603,11484.4,11589.1,305029077,16441.02
"3",2018-09-02,11675.85,11727.65,11640.1,11680.5,357230312,20755.73
"4",2018-08-26,11566.6,11604.6,11532,11557.1,225604574,13019.55
"5",2018-08-19,11437.15,11486.45,11431.8,11470.75,241985503,13275.31
"6",2018-08-12,11493.25,11495.2,11454.1,11470.7,311521403,15842.76
"7",2018-08-05,11297.8,11368,11294.55,11360.8,225146360,12984.66
"8",2018-07-29,11232.75,11283.4,11210.25,11278.35,324343457,15203.09
"9",2018-07-22,10963.5,11030.25,10946.2,11010.2,193144113,14105.94
"10",2018-07-15,11056.9,11071.35,10999.75,11018.9,241670818,14744.56
"11",2018-07-08,10744.15,10816.35,10735.05,10772.65,256547706,14006.48
"12",2018-07-01,10612.85,10723.05,10612.35,10714.3,250327878,14440.17
"13",2018-06-24,10742.7,10837,10710.45,10821.85,199467082,10858.35
"14",2018-06-17,10808.65,10834,10755.4,10817.7,314764425,19271.43
"15",2018-06-10,10736.4,10779.45,10709.05,10767.65,215942528,12360.88
"16",2018-06-03,10738.45,10764.75,10681.5,10696.2,227355567,12965.01
"17",2018-05-27,10533.05,10628.05,10524,10605.15,268914888,12431.16
"18",2018-05-20,10671.85,10674.95,10589.1,10596.4,229908939,13908.47
"19",2018-05-13,10741.95,10812.05,10724.45,10806.5,209392114,10432.43
"20",2018-05-06,10700.45,10700.45,10601.6,10618.25,192296041,9721.56
"21",2018-04-29,10651.65,10719.8,10647.55,10692.3,306671172,16886.89
"22",2018-04-22,10560.35,10582.35,10527.45,10564.05,252227268,15372.66
"23",2018-04-15,10495.3,10519.9,10451.45,10480.6,219724716,12354.55
"24",2018-04-08,10322.75,10350.45,10290.85,10331.6,206355691,10131.74
"25",2018-04-01,10143.6,10158.35,10096.9,10113.7,354977198,18807.48
"26",2018-03-25,9968.8,10027.7,9951.9,9998.05,294515154,14435.17
"27",2018-03-18,10345.15,10346.3,10180.25,10195.15,338702439,18811.97
"28",2018-03-11,10271.3,10296.7,10211.9,10226.85,192333334,9874.81
"29",2018-03-04,10479.95,10525.5,10447.15,10458.35,181378504,10179.48
"30",2018-02-25,10408.1,10499.1,10396.65,10491.05,217134363,12704.32
"31",2018-02-18,10596.2,10612.9,10434.05,10452.3,190043189,10026.71
"32",2018-02-11,10416.5,10480.2,10398.2,10454.95,197502912,10602.15
"33",2018-02-04,10938.2,10954.95,10736.1,10760.6,291431992,16542.51
"34",2018-01-28,11095.6,11095.6,11009.2,11069.65,340469462,19939.54
"35",2018-01-21,10829.2,10906.85,10793.9,10894.7,214011963,11792.26
"36",2018-01-14,10682.55,10690.4,10597.1,10681.25,180592153,11005.12
"37",2018-01-07,10534.25,10566.1,10520.1,10558.85,186469717,10306.22
"38",2017-12-31,10492.35,10538.7,10488.65,10530.7,156736221,8943.1
"39",2017-12-24,10457.3,10501.1,10448.25,10493,143119167,8755.32
"40",2017-12-17,10345.65,10373.1,10319.65,10333.25,262974703,15106.77
"41",2017-12-10,10198.45,10270.85,10195.25,10265.65,206234019,11468.15
"42",2017-12-03,10263.7,10272.7,10108.55,10121.8,147765528,8518.58
"43",2017-11-26,10366.8,10404.5,10362.25,10389.7,133177324,8197.66
"44",2017-11-19,10324.55,10343.6,10268.05,10283.6,209592893,11023.35
"45",2017-11-12,10304.35,10344.95,10254.1,10321.75,287962940,14682.6
"46",2017-11-05,10461.55,10461.7,10403.6,10452.5,206101238,10070.83
"47",2017-10-29,10362.3,10366.15,10311.3,10323.05,322411410,15149.9
"48",2017-10-22,10210.35,10211.95,10123.35,10146.55,31086379,1685.16
"49",2017-10-15,10123.7,10191.9,10120.1,10167.45,237230047,12379.8
"50",2017-10-08,9908.15,9989.35,9906.6,9979.7,201858899,9986.18
"51",2017-10-01,9814.3,9854,9775.35,9788.6,202350211,11087.11
"52",2017-09-24,10094.35,10095.05,9952.8,9964.4,233621596,11941.88
"53",2017-09-17,10062.35,10115.15,10043.65,10085.4,274799134,13650.9
"54",2017-09-10,9958.65,9963.6,9913.3,9934.8,168698771,8792.49
"55",2017-09-03,9937.65,9983.45,9909.85,9974.4,162730656,9314.82
"56",2017-08-27,9881.2,9881.5,9848.85,9857.05,190398702,10392.63
"57",2017-08-20,9865.95,9865.95,9783.65,9837.4,253931517,15636.16
"58",2017-08-13,9712.15,9771.65,9685.55,9710.8,294732998,13435.56
"59",2017-08-06,10008.6,10075.25,9988.35,10066.4,184082134,10397.88
"60",2017-07-30,9996.55,10026.05,9944.5,10014.5,197491415,11996.8
"61",2017-07-23,9899.6,9924.7,9838,9915.25,193286125,11860.28
"62",2017-07-16,9913.3,9913.3,9845.45,9886.35,164456602,9187.71
"63",2017-07-09,9670.35,9684.25,9642.65,9665.8,146232151,8514.53
"64",2017-07-02,9478.5,9535.8,9448.75,9520.9,185202600,8783.59
"65",2017-06-25,9643.25,9647.65,9565.3,9574.95,180580579,9092.74
"66",2017-06-18,9595.45,9615.85,9565.5,9588.05,219808528,11920.62
"67",2017-06-11,9638.55,9676.25,9608.15,9668.25,163897548,9078.71
"68",2017-06-04,9657.15,9673.5,9637.45,9653.5,167195027,8564.3
"69",2017-05-28,9507.75,9604.9,9495.4,9595.1,225647631,11204.36
"70",2017-05-21,9469.9,9505.75,9390.75,9427.9,259861396,11544.77
"71",2017-05-14,9436.65,9437.75,9372.55,9400.9,159079418,9813.47
"72",2017-05-07,9374.55,9377.1,9272,9285.3,239133531,10466.68
"73",2017-04-30,9340.95,9342.65,9282.25,9304.05,215881711,12910.38
"74",2017-04-23,9179.1,9183.65,9088.75,9119.4,175629897,8843.5
"75",2017-04-16,9202.5,9202.65,9144.95,9150.8,171695600,8908.17
"76",2017-04-09,9223.7,9250.5,9188.1,9198.3,195918747,10217.13
"77",2017-04-02,9158.9,9191.7,9152.1,9173.75,196771674,10955.05
"78",2017-03-26,9104,9133.55,9089.4,9108,210021581,8853.03
"79",2017-03-19,9207.8,9218.4,9147.6,9160.05,295554265,13226.29
"80",2017-03-12,8953.7,8975.7,8903.95,8934.55,157419999,7385.28
"81",2017-03-05,8883.5,8907.1,8860.1,8897.55,208915878,9783.57
"82",2017-02-26,8956.4,8982.15,8927.55,8939.5,388874096,17243.08
"83",2017-02-19,8883.7,8896.45,8804.25,8821.7,222828919,10472.37
"84",2017-02-12,8812.35,8822.1,8771.2,8793.55,232947341,10320.17
"85",2017-02-05,8735.15,8748.25,8707.75,8740.95,292329202,11555.02
"86",2017-01-29,8610.5,8672.7,8606.9,8641.25,283905821,11568.92
"87",2017-01-22,8404.35,8423.65,8340.95,8349.35,208901233,9014.51
"88",2017-01-15,8457.65,8461.05,8373.15,8400.35,192285417,8938.68
"89",2017-01-08,8281.85,8306.85,8233.25,8243.8,143689850,7298.74
"90",2017-01-01,8119.65,8197,8114.75,8185.8,131457250,5800.7
"91",2016-12-25,7972.5,8022.6,7942.05,7985.75,126409580,6206.58
"92",2016-12-18,8178.2,8178.7,8127.45,8139.45,209268331,9854.07
"93",2016-12-11,8271.7,8274.95,8241.95,8261.75,154344775,6866.81
"94",2016-12-04,8153.55,8159.3,8070.05,8086.8,176767415,8050.5
"95",2016-11-27,8007.95,8122.25,7976.75,8114.3,183355873,8920.79
"96",2016-11-20,8097.55,8128.95,8048.3,8074.1,166199545,7901.64
"97",2016-11-13,8456.65,8460.6,8284.95,8296.3,275221694,12485.11
"98",2016-11-06,8503.6,8504,8400.25,8433.75,231783152,11798.48
"99",2016-10-30,8672.35,8678.25,8616.25,8625.7,16610872,805.89
"100",2016-10-23,8708.6,8709.1,8652.05,8693.05,162162047,8022.44
"101",2016-10-16,8594,8604.45,8549.8,8583.4,167848947,9613.47
"102",2016-10-09,8721.7,8723.7,8663.8,8697.6,155053800,8144.3
"103",2016-10-02,8581.5,8637.15,8555.2,8611.15,187333285,8849.27
"104",2016-09-25,8880.75,8885.2,8820.3,8831.55,191618169,9793.98
"105",2016-09-18,8780.85,8847.65,8750.5,8779.85,274039556,14430.63
"106",2016-09-11,8934.3,8939.15,8858.7,8866.7,181344327,9976.28
